Title,Company,Job Description,Skills,Location,Work Type
Solutions Analyst,Under Armour India,"PURPOSE OF ROLE: As Solutions Analyst,Procureto Pay (PTP), you will work closely with business and IT leaders to define,developand implement solutions for the inboundlogistics, global trade, and inventory management aspects of our global SAP implementation. This area includes critical touchpoints to the consumers and vendors by way of procurement, inbound shipments, inventory receipts andsubsequentmovements, supplier collaboration,importsand exports associated with global trade, and ownership o…",SAP,Bengaluru,Onsite
Data Engineer,Wissen Technology,Hiring: Data Engineer / Senior Data Engineer We are looking for a passionate and skilled Data Engineer with 6–8 years of experience to join our global product development team and solve complex data engineering challenges. Company: Wissen Technology Location: Bengaluru Experience: 6–8 Years Work Mode: 3 Days Work From Office Notice Period: Immediate to 0–15 days (Serving notice preferred) Interview Process: Minimum 1 Round F2F Key Responsibilities: • Design and build scalable data pipelines a…,"Scala, Data Pipeline",Bengaluru,Onsite
Search Engine Optimization Specialist,eClerx,"Location- Mumbai/Pune/Chandigarh Shift - EMEA Mandatory Experience - E-commerce domain exposure, international client exposure and AI Strategies in SEO Key Responsibilities Lead and manage end-to-end SEO projects from strategy to execution, QA, and delivery aligning with business goals and KPIs. Develop data-driven SEO strategies for websites targeting both traditional search and emerging AI-driven environments (Google’s AI Overviews, Bing Copilot, Perplexity, etc.). Conduct comprehensive audit…","QA, SEO","Maharashtra, India",Onsite
Remote Business Analyst,Turing,"About Turing: Turing is one of the world’s fastest-growing AI companies accelerating the advancement and deployment of powerful AI systems. Turing helps customers in two ways: Working with the world’s leading AI labs to advance frontier model capabilities in thinking, reasoning, coding, agentic behavior, multimodality, multilinguality, STEM and frontier knowledge; and leveraging that work to build real-world AI systems that solve mission-critical priorities for companies. Role Overview: In this…",,"Chennai, Tamil Nadu",Remote
Service Engineer,Ruijie Reyee,"Responsibilities Be responsible for overall network infrastructure service business in assigned country, and ensure to provide high technical support quality for end users, channel partner and sales team. Deliver post-sale services to key stakeholders and coordinate and prioritize service provision within responsible country, considering business demand and customer satisfaction. Establish the services process system (Services Support, RMA process, etc.) with the covering countries and be respo…",Technical Support,"Mumbai, Maharashtra",Onsite
Nagios Platform Administration - L3,SIRO,"Must‑Have Technical Skills • Strong expertise in Nagios Core and/or Nagios XI • Linux administration (RHEL / CentOS / Rocky) • SNMP, NRPE, NSClient • Plugin development and customization • Monitoring performance tuning & optimization • ITSM integration (preferably ServiceNow) • Strong troubleshooting & analytical skills Nagios Platform Administration (L3 Ownership) Own end‑to‑end Nagios Core / Nagios XI platform administration Design, deploy, and maintain high‑availability Nagios architectures …",Linux,"Mumbai, Maharashtra",Onsite
MBA Interns - New Grad 2026/2027,Pandita AI Inc,"Company Description Pandita AI Inc. is a leading innovator in the field of machine learning, dedicated to creating transformative products that redefine how industries and individuals leverage data and AI technologies. Known for our focus on excellence and innovation, we deliver cutting-edge machine learning solutions that drive growth and operational efficiency. We operate across diverse sectors, ensuring impactful technological advancements. At Pandita AI Inc., we thrive on fostering a cultur…","Machine Learning, Excel, Excel","Mysore, Karnataka",Onsite
Senior Infosec Engineer,InCred Money,"Role: Senior Infosec Engineer Location: Bavdhan, Pune, Maharashtra, India (On-site) Industry: Fintech / Financial Services Role Summary We are looking for a dynamic and hands-on Senior Infosec Engineer who will be responsible for leading and implementing our information security and cyber-risk strategy. The ideal candidate will have strong experience in fintech or financial services, knowledge of regulatory frameworks (like RBI, SEBI), and the ability to build secure digital systems while enabl…",,India,Onsite
Oracle Database Administrator,Softenger,"We’re Hiring: Oracle Database Experts (L2 & L3) | Banking Infrastructure Location: Delhi | Mumbai Type: Full-Time Are you an Oracle Specialist who thrives in high-pressure, high-transaction environments? Do you enjoy the challenge of managing multi-terabyte databases that power national payment systems? We are looking for Oracle Performance Engineers & Database Architects to join our Core Banking Infrastructure team. We have two open positions: L3 Lead (8–10 Years): Focusing on performance…",Oracle,"Mumbai, Maharashtra",Onsite
Analytics Manager,Careem,"The role is responsible for driving data-driven insights and strategies to fuel user acquisition, engagement, and retention across Careem's platform and verticals. The role holder will leverage advanced data analytics, understanding of consumer behavior, and prior grasp of key fundamental digital & growth metrics to define and analyze growth opportunities, optimize campaigns and initiatives, and improve key metrics such as CAC, conversion rate and reactivation rate. Key Accountabilities: Data C…",React,"Pune, Maharashtra",Onsite
