category,question_id,origin_file,subject,topic,question_type,correct_answer,snippet
numerical_answer_not_parseable_as_number,da::3.34.2,questions_clean.json,Databases,Databases,numerical,N/A,One giga bytes of data are to be organized as an indexed-sequential file with a uniform blocking fac...
numerical_answer_not_parseable_as_number,da::13.1.3,questions_clean.json,Data Structures,Data Structures,numerical,TBA,A. Derive a recurrence relation for the size of the smallest AVL tree with height h. B. What is the ...
numerical_answer_not_parseable_as_number,em::2.29.5,questions_clean.json,Mathematics,Calculus,numerical,0.53 to 0.56,The real root of the equation 5x − 2cos x − 1 = 0 (up to two decimal accuracy) is _______
numerical_answer_not_parseable_as_number,em::2.35.1,questions_clean.json,Mathematics,Calculus,numerical,34 to 36,If y = f(x) is the solution of d²y/dx² = 0 with the boundary conditions y = 5 at x = 0 and dy/dx = 2...
numerical_answer_not_parseable_as_number,em::2.36.1,questions_clean.json,Mathematics,Calculus,numerical,≈ 0 (range: −0.0001 to 0.0001),The value of the contour integral (1/2πj) ∮ (z + 1/z)² dz evaluated over the unit circle |z| = 1 is ...
numerical_answer_not_parseable_as_number,em::2.37.1,questions_clean.json,Mathematics,Calculus,numerical,π/8,The value of the double integral ∫₀¹ ∫₀¹ x/(1 + y²) dx dy is _________.
numerical_answer_not_parseable_as_number,em::2.37.8,questions_clean.json,Mathematics,Calculus,numerical,−1,Compute the value of: ∫_{1/π}^{2/π} cos(1/x)/x² dx
numerical_answer_not_parseable_as_number,em::2.37.10,questions_clean.json,Mathematics,Calculus,numerical,0.288 to 0.289,The value of ∫₀^{π/4} x·cos(x²) dx correct to three decimal places (assuming that π = 3.14) is ____
numerical_answer_not_parseable_as_number,em::2.38.12,questions_clean.json,Mathematics,Calculus,numerical,−0.5,The value of the following limit is ________________: lim_{x→0+} √x / (1 − e^{2√x})
numerical_answer_not_parseable_as_number,em::2.41.23,questions_clean.json,Mathematics,Calculus,numerical,−100,The minimum value of the function f(x) = (1/3)x(x² − 3) in the interval −100 ≤ x ≤ 100 occurs at x =...
numerical_answer_not_parseable_as_number,em::2.41.30,questions_clean.json,Mathematics,Calculus,numerical,11.5 to 12.5,"Let f(x) = 3x³ − 7x² + 5x + 6. The maximum value of f(x) over the interval [0, 2] is ________ (up to..."
numerical_answer_not_parseable_as_number,em::2.41.34,questions_clean.json,Mathematics,Calculus,numerical,0.9 to 1.1,"Consider the real-valued function g(x) = max{(x − 2)², −2x + 7}, where x ∈ (−∞, ∞). The minimum valu..."
numerical_answer_not_parseable_as_number,em::3.28.3,questions_clean.json,Mathematics,Linear Algebra,numerical,7.90 to 8.70,Consider two vectors: a⃗ = 5î + 7ĵ + 2k̂ b⃗ = 3î − ĵ + 6k̂  Magnitude of the component of a⃗ orthogo...
